lat, lng, cleanRent, cleanBeds, listingDate
47.937791,-122.206985,2200.0,4.0,2016-10-21
47.676169,-122.301644,2650.0,2.0,2016-10-21
47.646933,-122.357996,1775.0,2.0,2016-10-21
47.236176,-122.555115,1150.0,1.0,2016-10-21
47.548411,-122.090658,1500.0,1.0,2016-10-21
47.65772,-122.089233,1670.0,2.0,2016-10-21
47.236176,-122.555115,1010.0,1.0,2016-10-21
47.236176,-122.555115,990.0,1.0,2016-10-21
47.286467,-122.361985,1210.0,2.0,2016-10-21
47.648071,-122.335745,2025.0,1.0,2016-10-21
47.153355,-122.576738,955.0,1.0,2016-10-21
47.236176,-122.555115,1020.0,1.0,2016-10-21
47.236176,-122.555115,1170.0,2.0,2016-10-21
47.236176,-122.555115,1155.0,2.0,2016-10-21
47.610123,-122.199134,1696.0,0.0,2016-10-21
47.236176,-122.555115,1170.0,2.0,2016-10-21
47.236176,-122.555115,1050.0,1.0,2016-10-21
47.236176,-122.555115,1135.0,2.0,2016-10-21
47.236176,-122.555115,1135.0,2.0,2016-10-21
47.236176,-122.555115,1230.0,2.0,2016-10-21
47.236176,-122.555115,1150.0,2.0,2016-10-21
47.707678,-122.166454,2169.0,2.0,2016-10-21
47.615346,-122.351279,4229.0,2.0,2016-10-21
47.236176,-122.555115,1620.0,3.0,2016-10-21
47.236176,-122.555115,1560.0,3.0,2016-10-21
47.236176,-122.555115,1505.0,3.0,2016-10-21
47.805669,-122.330746,1189.0,0.0,2016-10-21
47.707678,-122.166454,1559.0,1.0,2016-10-21
47.584088,-122.180599,1712.0,1.0,2016-10-21
47.247582,-122.526363,119.0,1.0,2016-10-21
47.648071,-122.335745,2105.0,1.0,2016-10-21
47.236176,-122.555115,1430.0,3.0,2016-10-21
47.236176,-122.555115,1230.0,2.0,2016-10-21
47.236176,-122.555115,1225.0,2.0,2016-10-21
47.236176,-122.555115,1020.0,1.0,2016-10-21
47.584088,-122.180599,1955.0,2.0,2016-10-21
47.236176,-122.555115,1060.0,1.0,2016-10-21
47.236176,-122.555115,1020.0,1.0,2016-10-21
47.702429,-122.177245,1718.0,1.0,2016-10-21
47.236176,-122.555115,1010.0,1.0,2016-10-21
47.236176,-122.555115,1190.0,2.0,2016-10-21
47.236176,-122.555115,1165.0,2.0,2016-10-21
47.584088,-122.180599,1859.0,2.0,2016-10-21
47.236176,-122.555115,1100.0,1.0,2016-10-21
47.207979,-122.293851,1455.0,2.0,2016-10-21
48.154958,-122.196525,1748.0,2.0,2016-10-21
47.814083,-122.206892,1525.0,2.0,2016-10-21
47.369445,-122.585879,3800.0,3.0,2016-10-21
