lat,lng,cleanRent,cleanBeds,listingDate
47.43084,-122.29338,1520.0,2.0,2019-01-14
47.62351,-122.33181,1967.0,1.0,2019-01-14
47.71746,-122.29406,1718.0,1.0,2019-01-14
47.66752,-122.38483,2075.0,1.0,2019-01-14
47.55998,-122.38186,1495.0,1.0,2019-01-14
47.66752,-122.38483,1725.0,1.0,2019-01-14
47.66752,-122.38483,1975.0,1.0,2019-01-14
47.69934,-122.27781,1850.0,2.0,2019-01-14
47.61309,-122.32347,590.0,0.0,2019-01-14
47.72828,-122.34764,1315.0,1.0,2019-01-14
47.61165,-122.32973,1015.0,0.0,2019-01-14
47.61289,-122.34949,2393.0,1.0,2019-01-14
47.47043,-122.25397,1280.0,1.0,2019-01-14
47.61712,-122.34875,2020.0,1.0,2019-01-14
47.40926,-122.28602,1620.0,2.0,2019-01-14
47.61289,-122.34949,1854.0,1.0,2019-01-14
47.71746,-122.29406,2040.0,2.0,2019-01-14
47.62338,-122.32102,1585.0,0.0,2019-01-14
47.65178,-122.39279,1775.0,2.0,2019-01-14
47.6164,-122.32457,1900.0,1.0,2019-01-14
47.513,-122.32321,1699.0,2.0,2019-01-14
47.62187,-122.33159,2405.0,1.0,2019-01-14
47.61356,-122.3377,1903.0,0.0,2019-01-14
47.60528,-122.32055,2149.0,2.0,2019-01-14
47.61268,-122.34745,2199.0,1.0,2019-01-14
47.61994,-122.35814,2127.0,1.0,2019-01-14
47.6768,-122.31726,1787.0,1.0,2019-01-14
47.47043,-122.25397,1280.0,2.0,2019-01-14
47.6164,-122.32457,1350.0,0.0,2019-01-14
47.63654,-122.27703,1795.0,1.0,2019-01-14
47.47043,-122.25397,1165.0,1.0,2019-01-14
47.65434,-122.3424,1554.0,0.0,2019-01-14
47.6768,-122.31726,1795.0,1.0,2019-01-14
47.67507,-122.31861,2350.0,2.0,2019-01-14
47.59428,-122.30912,1500.0,2.0,2019-01-14
47.66745,-122.3502,2033.0,1.0,2019-01-14
47.61518,-122.35156,4534.0,2.0,2019-01-14
47.61289,-122.34949,3527.0,2.0,2019-01-14
47.55998,-122.38186,1295.0,0.0,2019-01-14
47.61559,-122.33264,1898.0,1.0,2019-01-14
47.46128,-122.28436,1255.0,1.0,2019-01-14
47.6251,-122.34425,2368.0,1.0,2019-01-14
47.66797,-122.37104,1495.0,0.0,2019-01-14
47.57502,-122.38828,1870.0,1.0,2019-01-14
47.613,-122.31403,1899.0,0.0,2019-01-14
47.6017,-122.32236,1950.0,1.0,2019-01-14
47.62211,-122.33508,2220.0,1.0,2019-01-14
47.6243,-122.32925,2965.0,2.0,2019-01-14
47.613,-122.31403,1790.0,0.0,2019-01-14
47.57892,-122.40943,1325.0,1.0,2019-01-14
47.66506,-122.37869,1845.0,1.0,2019-01-14
47.60077,-122.32634,2094.0,2.0,2019-01-14
47.40815,-122.31519,1293.0,1.0,2019-01-14
47.56956,-122.62687,1650.0,1.0,2019-01-14
47.65741,-122.31429,1245.0,1.0,2019-01-14
47.613,-122.31403,2107.0,1.0,2019-01-14
47.73904,-122.34371,2125.0,2.0,2019-01-14
47.63325,-122.32501,2195.0,1.0,2019-01-14
47.613,-122.31403,2440.0,0.0,2019-01-14
47.57765,-122.41098,1325.0,1.0,2019-01-14
47.52426,-122.36056,1295.0,1.0,2019-01-14
47.62618,-122.31266,2075.0,2.0,2019-01-14
47.61583,-122.30925,3185.0,2.0,2019-01-14
47.61405,-122.32313,1610.0,0.0,2019-01-14
47.654,-122.33448,2013.0,1.0,2019-01-14
47.46799,-122.26668,1620.0,2.0,2019-01-14
47.64614,-122.32505,940.0,0.0,2019-01-14
47.67512,-122.37393,2326.0,1.0,2019-01-14
47.46645,-122.32467,1800.0,2.0,2019-01-14
47.57502,-122.38828,2475.0,2.0,2019-01-14
47.67327,-122.39828,1797.0,1.0,2019-01-14
47.61871,-122.33421,3388.0,2.0,2019-01-14
47.67674,-122.37676,2383.0,2.0,2019-01-14
47.46645,-122.32467,1742.0,2.0,2019-01-14
47.62692,-122.35921,1579.0,1.0,2019-01-14
47.56325,-122.38496,2047.0,1.0,2019-01-14
47.57758,-122.61706,1080.0,1.0,2019-01-14
47.44609,-122.29048,1555.0,1.0,2019-01-14
47.72836,-122.29372,1225.0,1.0,2019-01-14
47.68238,-122.32298,2050.0,2.0,2019-01-14
47.62671,-122.34166,3805.0,3.0,2019-01-14
47.62212,-122.32649,1550.0,1.0,2019-01-14
47.65234,-122.38995,1665.0,1.0,2019-01-14
47.59722,-122.62625,1026.0,2.0,2019-01-14
47.69063,-122.37438,1460.0,0.0,2019-01-14
47.61827,-122.35051,1895.0,1.0,2019-01-14
47.61017,-122.32313,2895.0,1.0,2019-01-14
47.61446,-122.31675,2164.0,1.0,2019-01-14
47.66144,-122.32402,1299.0,0.0,2019-01-14
47.75442,-122.34554,1329.0,1.0,2019-01-14
47.57,-122.41009,1695.0,1.0,2019-01-14
47.53882,-122.38674,1025.0,0.0,2019-01-14
47.57765,-122.41095,1350.0,1.0,2019-01-14
47.60986,-122.32396,2260.0,1.0,2019-01-14
47.61356,-122.3377,1620.0,0.0,2019-01-14
47.6232,-122.33144,3388.0,2.0,2019-01-14
47.58842,-122.31736,1529.0,1.0,2019-01-14
47.6232,-122.36208,2285.0,1.0,2019-01-14
47.60551,-122.32743,1299.0,0.0,2019-01-14
47.6232,-122.36208,2067.0,1.0,2019-01-14
