lat,lng,cleanRent,cleanBeds,listingDate
47.61173,-122.29484,3099.0,4.0,2016-10-21
47.6211,-122.35552,1785.0,0.0,2016-10-21
47.69067,-122.35231,2069.0,2.0,2016-10-21
47.69067,-122.35231,1599.0,1.0,2016-10-21
47.5846,-122.3005,2750.0,2.0,2016-10-21
47.64774,-122.37861,1655.0,0.0,2016-10-21
47.7193,-122.29511,1440.0,1.0,2016-10-21
47.63325,-122.32501,1995.0,1.0,2016-10-21
47.64164,-122.38564,1560.0,2.0,2016-10-21
47.55998,-122.38186,1695.0,1.0,2016-10-21
47.43084,-122.29338,1265.0,1.0,2016-10-21
47.66506,-122.37869,1499.0,1.0,2016-10-21
47.61446,-122.31675,1995.0,1.0,2016-10-21
47.61541,-122.35125,2995.0,2.0,2016-10-21
47.55695,-122.28613,1500.0,1.0,2016-10-21
47.67654,-122.3236,1495.0,2.0,2016-10-21
47.62521,-122.32669,2845.0,1.0,2016-10-21
47.6062,-122.33774,1930.0,1.0,2016-10-21
47.62522,-122.326537,2545.0,1.0,2016-10-21
47.54301,-122.38713,1645.0,2.0,2016-10-21
47.62223,-122.33034,1609.0,1.0,2016-10-21
47.62522,-122.326537,2845.0,1.0,2016-10-21
47.54301,-122.38713,1495.0,2.0,2016-10-21
47.67086,-122.32292,2795.0,4.0,2016-10-21
47.6131,-122.31934,2070.0,1.0,2016-10-21
47.65908,-122.35198,1995.0,2.0,2016-10-21
47.6062,-122.33774,2372.0,1.0,2016-10-21
47.62004,-122.33051,2135.0,1.0,2016-10-21
47.63607,-122.35686,1805.0,1.0,2016-10-21
47.60213,-122.32452,1696.0,0.0,2016-10-21
47.65434,-122.3424,2173.0,1.0,2016-10-21
47.62109,-122.35925,1745.0,1.0,2016-10-21
47.68052,-122.32418,1640.0,1.0,2016-10-21
47.61209,-122.32624,2179.0,2.0,2016-10-21
47.60565,-122.31651,1450.0,1.0,2016-10-21
47.54644,-122.3871,1615.0,1.0,2016-10-21
47.65417,-122.34232,2980.0,2.0,2016-10-21
47.54644,-122.3871,1495.0,1.0,2016-10-21
47.56252,-122.38939,2100.0,2.0,2016-10-21
47.64614,-122.32505,1130.0,0.0,2016-10-21
47.73027,-122.2924,1330.0,1.0,2016-10-21
47.70534,-122.33384,1300.0,0.0,2016-10-21
47.69311,-122.30641,1250.0,1.0,2016-10-21
47.61298,-122.33311,3299.0,2.0,2016-10-21
47.60934,-122.31669,1916.0,1.0,2016-10-21
47.6131,-122.31934,3090.0,2.0,2016-10-21
47.62109,-122.35925,1540.0,0.0,2016-10-21
47.60213,-122.32452,1605.0,0.0,2016-10-21
47.64134,-122.34644,1699.0,1.0,2016-10-21
47.6131,-122.31934,2805.0,2.0,2016-10-21
47.6131,-122.31934,1912.0,0.0,2016-10-21
47.6131,-122.31934,2920.0,2.0,2016-10-21
47.647702,-122.378739,1699.0,1.0,2016-10-21
47.63043,-122.35097,2875.0,2.0,2016-10-21
47.7328,-122.34782,1405.0,1.0,2016-10-21
47.61412,-122.3375,2529.0,1.0,2016-10-21
47.64205,-122.34646,2113.0,1.0,2016-10-21
